session_title,Golf Tournament,,,
session_title,Bike Tour,,,
session_title,Sponsor Hospitality Reception,,,
session_title,Networking Reception,,,
session_title,Opening Dinner,,,
session_title,Welcome and Keynote,,,
session_title,Dessert Reception,,,
session_title,Breakfast,,,
session_title,"Welcoming Remarks, Overview of Day, and Welcome",Welcome from ACT-IAC CEO,"Overview of Day,",Welcoming Remarks
session_title,Keynote:  Fireside Chat,,,
session_title,RockIT:  Going Beyond Security:,A Conversation on Digital Transformation and Digital Experience,Digital Transformation and Digital Experience,
session_title,AI in Mission Decision Making,,,
session_title,Driving Innovation to Support the Mission,,,
session_title,Key Executive Fireside Chat/Interview,,,
session_title,"Networking, Exhibits, Exhibitor Presentations",Automation and Reality Exhibits,,
session_title,Discover Digital Transformation,Powered by Emerging Technologies: Local to Global Perspectives,Local to Global Perspectives,
session_title,Healthcare Reimagined:  Merging the Physical and Digital,,,
session_title,Managing the Multicloud Future,,,
session_title,The Future Relies on Collaborative Innovation,Digital Supply Chains Across Mission Ecosystems,,
session_title,Lunch,,,
session_title,Keynotes and Voyagers Graduation,,,
session_title,Crucial Leadership Strategies ,for Incorporating Emerging Technology into an Agency's DNA,an Agency's D N A,
session_title,Driving Innovative Technologies into Federal Missions,,,
session_title,Quantum Implications for Cybersecurity,,,
session_title,Why the Future of Government is a Citizen Experience,,,
session_title,Networking,Exhibitor Presentations,Automation and Reality Exhibits,Exhibits
session_title,Hospitality Receptions,,,
session_title,Dinner,,,
session_title,Hyatt Lawn Event/Tent/Band,,,
session_title,Breakfast,,,
session_title,Welcome,,,
session_title,Keynotes,,,
session_title,Innovation Awards and Presentations,,,
session_title,Workforce Innovation in a Hybrid Workplace,How to Leverage Innovation in a Virtual Environment,,
session_title,Closing Comments,,,
session_title,Boxed Lunches To Go,,,
